YEAR COUNTY POUNDS VALUE
1992 SAGADAHOC 787,094 $2,054,477
1992 WASHINGTON 1,988,616 $5,509,805
1992 YORK 2,093,940 $5,836,893
1992 TOTAL 26,830,448 $71,822,699
1993 CUMBERLAND 6,775,632 $15,405,739
1993 HANCOCK 4,860,419 $12,787,474
1993 KNOX 9,452,680 $23,730,240
1993 LINCOLN 3,904,496 $9,121,585
1993 SAGADAHOC 795,007 $1,862,573
1993 WASHINGTON 2,241,069 $6,189,100
1993 YORK 1,897,161 $4,766,727
1993 TOTAL 29,926,464 $73,863,438
1994 CUMBERLAND 7,657,841 $19,179,259
1994 HANCOCK 6,818,893 $18,443,049
1994 KNOX 13,361,606 $34,623,540
1994 LINCOLN 4,653,983 $11,412,922
1994 SAGADAHOC 1,041,593 $2,736,076
1994 WASHINGTON 2,711,394 $7,391,732
1994 YORK 2,703,557 $7,150,100
1994 TOTAL 38,948,867 $100,936,678
1995 CUMBERLAND 5,930,682 $15,762,117
1995 HANCOCK 7,462,326 $20,069,012
1995 KNOX 14,265,374 $39,019,937
1995 LINCOLN 3,938,181 $10,515,328
1995 SAGADAHOC 785,248 $2,154,172
1995 WASHINGTON 2,538,271 $7,502,859
1995 YORK 2,288,242 $6,869,748
1995 TOTAL 37,208,324 $101,893,173
1996 CUMBERLAND 6,058,133 $16,825,569
1996 HANCOCK 5,995,604 $18,443,475
1996 KNOX/WALDO 13,096,320 $38,066,330
1996 LINCOLN 4,088,410 $11,582,610
1996 SAGADAHOC 921,660 $2,829,996
1996 UNKNOWN 14,282 $44,402
1996 WASHINGTON 3,377,524 $10,946,845
1996 YORK 2,531,510 $8,241,330
1996 TOTAL 36,083,443 $106,980,557
1997 CUMBERLAND 9,121,551 $26,082,338
1997 HANCOCK 8,910,151 $26,594,709
1997 KNOX 17,333,911 $51,000,288
1997 LINCOLN 4,132,380 $11,920,293
1997 NOT-SPECIFIED 162 $729
1997 SAGADAHOC 1,016,955 $2,939,848
1997 WASHINGTON 3,954,077 $11,960,030
1997 YORK 2,554,084 $7,794,203
1997 TOTAL 47,023,271 $138,292,438
1998 CUMBERLAND 7,764,518 $21,761,129
1998 HANCOCK 10,431,174 $31,176,249
1998 KNOX 16,550,383 $46,198,512
1998 LINCOLN 4,512,540 $12,936,440
1998 SAGADAHOC 1,020,663 $3,124,052
1998 WASHINGTON 4,397,233 $14,254,906
1998 YORK 2,360,325 $7,738,053
1998 TOTAL 47,036,836 $137,189,341
1999 CUMBERLAND 10,154,577 $34,240,433
1999 HANCOCK 10,806,518 $37,898,308
1999 KNOX 19,132,420 $64,583,196
1999 LINCOLN 4,925,141 $16,877,253
1999 SAGADAHOC 1,137,076 $3,999,913
1999 WASHINGTON 3,889,216 $14,564,325
1999 YORK 3,449,470 $12,450,643
1999 TOTAL 53,494,418 $184,614,071
2000 CUMBERLAND 9,519,281 $30,514,219
2000 HANCOCK 15,382,558 $49,411,598
2000 KNOX 18,653,641 $59,804,314
2000 LINCOLN 5,000,332 $15,828,327
2000 SAGADAHOC 905,903 $3,088,365
2000 WASHINGTON 4,788,939 $18,363,877
2000 YORK 2,964,752 $10,704,117
2000 TOTAL 57,215,406 $187,714,817
2001 CUMBERLAND 6,520,260 $19,803,951
2001 HANCOCK 10,082,125 $32,411,845
2001 KNOX/WALDO 17,223,951 $54,580,530
2001 LINCOLN 5,041,845 $15,105,261
2001 SAGADAHOC 422,716 $1,283,635
2001 WASHINGTON 6,948,785 $23,047,741
2001 YORK 2,378,011 $7,749,303
2001 TOTAL 48,617,693 $153,982,266
2002 CUMBERLAND 9,591,508 $31,220,418
2002 HANCOCK 16,549,841 $57,267,041
2002 KNOX/WALDO 19,765,074 $63,227,621
2002 LINCOLN 5,359,690 $16,770,773
2002 SAGADAHOC 1,414,264 $4,669,764
2002 WASHINGTON 7,499,213 $25,857,154
2002 YORK 3,446,155 $11,937,259
2002 TOTAL 63,625,745 $210,950,030
2003 CUMBERLAND 5,595,642 $20,519,959
2003 HANCOCK 13,962,989 $53,555,884
2003 KNOX/WALDO 19,758,708 $71,927,116
2003 LINCOLN 5,019,251 $18,302,492
2003 NOT-SPECIFIED 130,810 $536,424
2003 SAGADAHOC 911,867 $3,580,788
2003 WASHINGTON 6,872,748 $26,651,797
2003 YORK 2,718,933 $10,640,869
2003 TOTAL 54,970,948 $205,715,329
2004 CUMBERLAND 9,255,280 $36,591,790
2004 HANCOCK 16,537,170 $69,166,111
2004 KNOX 24,804,328 $98,174,305
2004 LINCOLN 6,770,722 $25,908,554
2004 SAGADAHOC 1,303,911 $5,302,330
2004 WALDO 401,706 $1,762,878
2004 WASHINGTON 7,873,692 $32,674,789
2004 YORK 4,627,535 $19,498,090
2004 TOTAL 71,574,344 $289,078,847
2005 CUMBERLAND 8,335,125 $37,755,755
2005 HANCOCK 18,882,812 $88,660,604
2005 KNOX 21,419,378 $98,319,258
2005 LINCOLN 5,574,889 $24,377,448
2005 NOT-SPECIFIED 14,655 $72,488
2005 SAGADAHOC 1,526,964 $7,136,879
2005 WALDO 284,661 $1,380,216
2005 WASHINGTON 9,323,532 $44,493,250
2005 YORK 3,367,845 $15,752,438
2005 TOTAL 68,729,861 $317,948,336
2006 CUMBERLAND 9,444,550 $38,237,173
2006 HANCOCK 21,159,600 $85,552,617
2006 KNOX 22,123,241 $90,162,700
2006 LINCOLN 6,361,330 $24,580,617
2006 NOT-SPECIFIED 244,886 $954,973
2006 SAGADAHOC 1,850,308 $7,951,396
2006 WALDO 372,901 $1,620,134
2006 WASHINGTON 10,686,067 $43,180,287
2006 YORK 3,173,459 $13,464,040
2006 TOTAL 75,416,341 $305,703,938
2007 CUMBERLAND 8,367,473 $36,552,598
2007 HANCOCK 17,635,973 $78,327,083
2007 KNOX 19,201,116 $83,313,212
2007 LINCOLN 5,345,748 $22,569,053
2007 NOT-SPECIFIED 21,837 $89,374
2007 SAGADAHOC 1,406,855 $6,162,745
2007 WALDO 304,784 $1,366,213
2007 WASHINGTON 9,273,724 $41,086,679
2007 YORK 2,423,850 $11,211,246
2007 TOTAL 63,981,361 $280,678,206
2008 CUMBERLAND 9,077,125 $32,153,313
2008 HANCOCK 19,350,787 $69,190,516
2008 KNOX 20,218,311 $69,876,410
2008 LINCOLN 5,635,488 $18,883,924
2008 NOT-SPECIFIED 476 $1,971
2008 SAGADAHOC 1,381,763 $5,024,168
2008 WALDO 306,738 $1,066,923
2008 WASHINGTON 10,988,328 $37,431,946
2008 YORK 2,949,486 $11,520,855
2008 TOTAL 69,908,504 $245,150,026
2009 CUMBERLAND 10,330,898 $30,478,441
2009 HANCOCK 23,528,918 $69,567,150
2009 KNOX 23,375,555 $66,435,362
2009 LINCOLN 5,661,410 $16,636,556
2009 SAGADAHOC 1,535,623 $4,677,360
2009 WALDO 293,435 $831,688
2009 WASHINGTON 13,141,424 $37,945,045
2009 YORK 3,307,374 $10,965,289
2009 TOTAL 81,174,638 $237,536,890
2010 CUMBERLAND 11,649,232 $39,436,920
2010 HANCOCK 31,306,262 $103,696,417
2010 KNOX 25,561,334 $83,308,122
2010 LINCOLN 6,194,426 $19,622,036
2010 NOT-SPECIFIED 90 $266
2010 SAGADAHOC 1,720,544 $6,307,314
2010 WALDO 372,415 $1,225,675
2010 WASHINGTON 16,213,914 $52,830,939
2010 YORK 3,190,555 $11,624,752
2010 TOTAL 96,208,772 $318,052,441
2011 CUMBERLAND 12,469,579 $41,667,556
2011 HANCOCK 34,071,486 $108,189,416
2011 KNOX 29,672,698 $94,380,783
2011 LINCOLN 6,391,550 $19,964,854
2011 SAGADAHOC 1,659,690 $5,877,406
2011 WALDO 456,016 $1,449,663
2011 WASHINGTON 16,910,075 $51,171,345
2011 YORK 3,293,634 $11,838,711
2011 TOTAL 104,924,728 $334,539,734
2012 CUMBERLAND 13,807,189 $40,434,664
2012 HANCOCK 43,467,568 $114,227,278
2012 KNOX 35,154,555 $95,524,992
2012 LINCOLN 6,799,804 $18,327,355
2012 SAGADAHOC 2,061,928 $5,962,184
2012 WALDO 546,494 $1,448,372
2012 WASHINGTON 21,744,391 $53,948,126
2012 YORK 3,739,493 $12,206,549
2012 TOTAL 127,321,422 $342,079,520
2013 CUMBERLAND 12,193,758 $39,113,119
2013 HANCOCK 44,136,419 $123,785,668
2013 KNOX 34,532,764 $103,729,589
2013 LINCOLN 6,378,457 $19,003,421
2013 SAGADAHOC 2,138,756 $6,757,811
2013 WALDO 688,618 $2,063,728
2013 WASHINGTON 23,874,397 $62,278,091
2013 YORK 3,865,268 $13,652,554
2013 TOTAL 127,808,437 $370,383,981
2014 CUMBERLAND 11,874,479 $46,797,697
2014 HANCOCK 42,575,285 $154,881,082
2014 KNOX 33,705,103 $126,487,159
2014 LINCOLN 5,982,176 $22,115,616
2014 SAGADAHOC 2,021,714 $7,839,769
2014 WALDO 864,528 $3,396,418
2014 WASHINGTON 23,282,620 $81,210,885
2014 YORK 4,020,018 $16,779,759
2014 TOTAL 124,325,923 $459,508,385
2015 CUMBERLAND 12,299,414 $53,104,387
2015 HANCOCK 41,612,365 $167,686,441
2015 KNOX 34,656,419 $144,846,058
2015 LINCOLN 6,228,200 $25,935,943
2015 SAGADAHOC 1,867,984 $8,109,875
2015 WALDO 805,478 $3,400,078
2015 WASHINGTON 21,333,130 $82,054,104
2015 YORK 3,860,403 $17,313,423
2015 TOTAL 122,663,393 $502,450,309
2016 CUMBERLAND 14,387,425 $61,474,379
2016 HANCOCK 44,964,926 $180,411,906
2016 KNOX 35,157,040 $148,505,875
2016 LINCOLN 7,129,928 $29,223,307
2016 SAGADAHOC 2,086,181 $8,921,975
2016 WALDO 827,209 $3,514,944
2016 WASHINGTON 23,505,050 $88,286,344
2016 YORK 4,489,941 $20,075,800
2016 TOTAL 132,547,700 $540,414,530
2017 CUMBERLAND 11,358,592 $47,953,127
2017 HANCOCK 38,471,755 $147,102,671
2017 KNOX 29,118,968 $120,625,889
2017 LINCOLN 6,115,832 $25,015,124
2017 SAGADAHOC 1,347,351 $5,833,952
2017 WALDO 791,465 $3,168,086
2017 WASHINGTON 21,106,012 $71,629,724
2017 YORK 3,752,393 $17,481,938
2017 TOTAL 112,062,369 $438,810,511
2018 CUMBERLAND 13,689,465 $60,350,822
2018 HANCOCK 39,651,093 $155,395,426
2018 KNOX 31,236,959 $136,176,539
2018 LINCOLN 6,893,362 $29,752,553
2018 SAGADAHOC 1,335,105 $5,848,576
2018 WALDO 750,022 $3,027,030
2018 WASHINGTON 22,802,112 $78,508,054
2018 YORK 4,636,171 $21,331,737
2018 TOTAL 120,994,289 $490,390,737
2019 CUMBERLAND 11,099,364 $56,971,215
2019 HANCOCK 31,607,947 $152,179,907
2019 KNOX 27,805,264 $142,747,344
2019 LINCOLN 5,632,749 $28,474,379
2019 SAGADAHOC 1,192,437 $6,097,517
2019 WALDO 629,651 $3,106,766
2019 WASHINGTON 20,470,853 $83,657,525
2019 YORK 3,747,664 $19,546,973
2019 TOTAL 102,185,929 $492,781,626
2020 CUMBERLAND 10,409,983 $46,559,536
2020 HANCOCK 30,855,837 $129,430,909
2020 KNOX 25,990,306 $115,000,152
2020 LINCOLN 5,423,973 $23,216,647
2020 SAGADAHOC 1,534,862 $6,715,416
2020 WALDO 513,767 $2,182,991
2020 WASHINGTON 19,474,153 $72,734,736
2020 YORK 3,684,654 $16,483,473
2020 TOTAL 97,887,535 $412,323,860
2021 CUMBERLAND 13,707,062 $93,687,678
2021 HANCOCK 32,509,539 $221,752,468
2021 KNOX 29,887,148 $206,876,653
2021 LINCOLN 6,637,449 $44,246,398
2021 SAGADAHOC 1,953,664 $13,362,743
2021 WALDO 437,442 $3,113,020
2021 WASHINGTON 20,644,521 $126,296,455
2021 YORK 4,848,631 $33,122,701
2021 TOTAL 110,625,456 $742,458,116
2022 CUMBERLAND 11,027,247 $48,306,694
2022 HANCOCK 30,470,161 $124,176,245
2022 KNOX 26,175,614 $110,577,028
2022 LINCOLN 6,008,220 $26,053,223
2022 SAGADAHOC 1,670,213 $7,168,226
2022 WALDO 254,063 $1,012,875
2022 WASHINGTON 18,827,132 $55,682,162
2022 YORK 4,267,771 $19,118,834
2022 TOTAL 98,700,421 $392,095,287
2023 CUMBERLAND 11,098,192 $59,201,352
2023 HANCOCK 27,982,279 $140,750,572
2023 KNOX 24,595,599 $127,913,299
2023 LINCOLN 5,993,511 $31,581,566
2023 SAGADAHOC 1,121,585 $5,963,277
2023 WALDO 202,752 $1,016,949
2023 WASHINGTON 18,682,565 $76,566,747
2023 YORK 4,047,327 $21,342,607
2023 TOTAL 93,723,810 $464,336,369
